identity,composite,marcKey,person,roles,title,attribution,provision,subjects,genres,relatedWork,recordId,personId,setfit_prediction,is_parent_category
82.0,"Title: View near Newport, Isle of Wight
Subjects: Newport (Isle of Wight, England); Etchings--England--London--1822; Aquatints--England--London--1822; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership
Genres: graphic; Views
Provision information: [London]: [publisher not identified], [1822]","1001 $aRowlandson, Thomas,$d1756-1827,$eprintmaker,$eartist.$0http://id.loc.gov/authorities/names/n50022330","Rowlandson, Thomas, 1756-1827",Printmaker; Artist,"View near Newport, Isle of Wight",drawn & etched by Rowlandson ; Stadler aquatinta,"[London]: [publisher not identified], [1822]","Newport (Isle of Wight, England); Etchings--England--London--1822; Aquatints--England--London--1822; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership",graphic; Views,,12927207,12927207-0bd49a1c-3f7f-4fde-96c9-6dc1833d2500#http://id.loc.gov/rwo/agents/n50022330,Visual Arts and Design,False
82.0,"Title: Christmas gambols
Subjects: Satires (Visual works)--England--1812; Etchings--England--London--1812; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership
Genres: graphic
Provision information: [London]: Pubd. Nov. 30, 1812, by T. Rowlandson, N. 1 James Street, Adelphi, [30 November 1812]","1001 $aRowlandson, Thomas,$d1756-1827,$eprintmaker.$0http://id.loc.gov/authorities/names/n50022330","Rowlandson, Thomas, 1756-1827",Printmaker,Christmas gambols,Rowlandson 1812,"[London]: Pubd. Nov. 30, 1812, by T. Rowlandson, N. 1 James Street, Adelphi, [30 November 1812]","Satires (Visual works)--England--1812; Etchings--England--London--1812; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership",graphic,,12941547,12941547-941675ed-7993-4614-a920-3b11c7567c33#http://id.loc.gov/rwo/agents/n50022330,Visual Arts and Design,False
82.0,"Title: Christmas gambols
Subjects: Satires (Visual works)--England--1812; Etchings--England--London--1812; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership
Genres: graphic
Provision information: [London]: Pubd. Nov. 30, 1812, by T. Rowlandson, N. 1 James Street, Adelphi, [30 November 1812]","7001 $aRowlandson, Thomas,$d1756-1827,$epublisher.$0http://id.loc.gov/authorities/names/n50022330","Rowlandson, Thomas, 1756-1827",Publisher,Christmas gambols,Rowlandson 1812,"[London]: Pubd. Nov. 30, 1812, by T. Rowlandson, N. 1 James Street, Adelphi, [30 November 1812]","Satires (Visual works)--England--1812; Etchings--England--London--1812; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership",graphic,,12941547,12941547-58462b56-1567-402c-b074-ac2731539736#http://id.loc.gov/rwo/agents/n50022330,Visual Arts and Design,False
82.0,"Title: The last shift
Subjects: Satires (Visual works)--England--1809; Aquatints--England--London--1809; Etchings--England--London--1809; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership
Genres: graphic
Provision information: London: Pub. April 11, 1809, by Reeve & Jones, No. 7 Vere Street, Bond Street, [11 April 1809]","7001 $aRowlandson, Thomas,$d1756-1827,$eartist.$0http://id.loc.gov/authorities/names/n50022330","Rowlandson, Thomas, 1756-1827",Artist,The last shift,Rowlandson,"London: Pub. April 11, 1809, by Reeve & Jones, No. 7 Vere Street, Bond Street, [11 April 1809]","Satires (Visual works)--England--1809; Aquatints--England--London--1809; Etchings--England--London--1809; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership",graphic,,12951534,12951534-aac96460-452d-4e1d-b77d-92f0b1eed6f2#http://id.loc.gov/rwo/agents/n50022330,Visual Arts and Design,False
82.0,"Title: Libel hunters on the look out, or, Daily examiners of the liberty of the press
Variant titles: Libel hunters on the lookout, or, Daily examiners of the liberty of the press; Daily examiners of the liberty of the press
Subjects: Satires (Visual works)--England--1810; Etchings--England--London--1810; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership
Genres: graphic
Provision information: [London]: Pubd. April 12, 1810, by Thos. Tegg, No. 111 Cheapside, [12 April 1810]","1001 $aRowlandson, Thomas,$d1756-1827,$eprintmaker.$0http://id.loc.gov/authorities/names/n50022330","Rowlandson, Thomas, 1756-1827",Printmaker,"Libel hunters on the look out, or, Daily examiners of the liberty of the press",,"[London]: Pubd. April 12, 1810, by Thos. Tegg, No. 111 Cheapside, [12 April 1810]","Satires (Visual works)--England--1810; Etchings--England--London--1810; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership",graphic,,12947712,12947712-4bb8ef39-2c70-442a-ae78-9600bd96dabd#http://id.loc.gov/rwo/agents/n50022330,Visual Arts and Design,False
82.0,"Title: An old maid in search of a flea
Subjects: Satires (Visual works)--England--1794; Etchings--England--London--1794; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership
Genres: graphic
Provision information: [London]: Published by S.W. Fores, No. 3 Piccadilly, Septr. 25, 1794.","1001 $aRowlandson, Thomas,$d1756-1827,$eprintmaker.$0http://id.loc.gov/authorities/names/n50022330","Rowlandson, Thomas, 1756-1827",Printmaker,An old maid in search of a flea,Rowlandson ; G.M. Woodward invt,"[London]: Published by S.W. Fores, No. 3 Piccadilly, Septr. 25, 1794.","Satires (Visual works)--England--1794; Etchings--England--London--1794; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership",graphic,,12714579,12714579-f96efc73-917d-49e8-be5c-376ba35d811e#http://id.loc.gov/rwo/agents/n50022330,Visual Arts and Design,False
82.0,"Title: Joanna Southcott the prophetess excommunicating the bishops
Subjects: Southcott, Joanna, 1750-1814--Caricatures and cartoons; Tozer, William, approximately 1770-1828--Caricatures and cartoons; Women prophets; Prophets; Bishops; Crosiers; Miters; Medals; Chalices; Boxes; Wigs; Beating; Whipping; Whips; Demons; Satires (Visual works)--England--1814; Etchings--England--London--1814; Johnstone, Henry Arthur--Ownership
Genres: graphic
Provision information: [London]: Pubd. Septr. 20th, 1814, by T. Tegg, No. 111 Cheapside, [20 September 1814]","1001 $aRowlandson, Thomas,$d1756-1827,$eprintmaker.$0http://id.loc.gov/authorities/names/n50022330","Rowlandson, Thomas, 1756-1827",Printmaker,Joanna Southcott the prophetess excommunicating the bishops,,"[London]: Pubd. Septr. 20th, 1814, by T. Tegg, No. 111 Cheapside, [20 September 1814]","Southcott, Joanna, 1750-1814--Caricatures and cartoons; Tozer, William, approximately 1770-1828--Caricatures and cartoons; Women prophets; Prophets; Bishops; Crosiers; Miters; Medals; Chalices; Boxes; Wigs; Beating; Whipping; Whips; Demons; Satires (Visual works)--England--1814; Etchings--England--London--1814; Johnstone, Henry Arthur--Ownership",graphic,,12899910,12899910-42b782e0-4767-418b-91fd-2c841596b081#http://id.loc.gov/rwo/agents/n50022330,Visual Arts and Design,False
82.0,"Title: A bill of fare for Bond Street epicures
Subjects: Satires (Visual works)--England--1808; Etchings--England--London--1808; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership
Genres: graphic
Provision information: [London]: Pubd. October 25, 1808, by Thomas Tegg, No. 111 Cheapside, [25 October 1808]","1001 $aRowlandson, Thomas,$d1756-1827,$eprintmaker.$0http://id.loc.gov/authorities/names/n50022330","Rowlandson, Thomas, 1756-1827",Printmaker,A bill of fare for Bond Street epicures,Woodward del. ; Rowlandson sc.,"[London]: Pubd. October 25, 1808, by Thomas Tegg, No. 111 Cheapside, [25 October 1808]","Satires (Visual works)--England--1808; Etchings--England--London--1808; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership",graphic,,12894190,12894190-8226a995-bc76-49fa-bc24-a4506f1bd5e1#http://id.loc.gov/rwo/agents/n50022330,Visual Arts and Design,False
115.0,"Title: [A rake's progress]
Variant titles: Rake's progress
Subjects: Clothing & dress; Harpsichords; Interiors; Merchants; Musicians; Rake's progress; Servants; Tailors; Young adults; Satires (Visual works)--England--1735; Engravings--England--London--1735; Etchings--England--London--1735; Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership
Genres: graphic
Provision information: [London]: [Wm. Hogarth], [25 June 1735]; [State 4]","1001 $aHogarth, William,$d1697-1764,$eprintmaker.$0http://id.loc.gov/authorities/names/n80126106","Hogarth, William, 1697-1764",Printmaker,[A rake's progress],"invented &c by Wm. Hogarth & publish'd according to act of Parliament June [the] 25, 1735.","[London]: [Wm. Hogarth], [25 June 1735] [State 4]","Clothing & dress; Harpsichords; Interiors; Merchants; Musicians; Rake's progress; Servants; Tailors; Young adults; Satires (Visual works)--England--1735; Engravings--England--London--1735; Etchings--England--London--1735; Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership",graphic,,12627293,12627293-d7457126-202f-4656-b0ed-532314c2f0b3#http://id.loc.gov/rwo/agents/n80126106,Visual Arts and Design,False
115.0,"Title: [A rake's progress]
Variant titles: Rake's progress
Subjects: Clothing & dress; Harpsichords; Interiors; Merchants; Musicians; Rake's progress; Servants; Tailors; Young adults; Satires (Visual works)--England--1735; Engravings--England--London--1735; Etchings--England--London--1735; Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership
Genres: graphic
Provision information: [London]: [Wm. Hogarth], [25 June 1735]; [State 4]","7001 $aHogarth, William,$d1697-1764,$eartist.$0http://id.loc.gov/authorities/names/n80126106","Hogarth, William, 1697-1764",Artist,[A rake's progress],"invented &c by Wm. Hogarth & publish'd according to act of Parliament June [the] 25, 1735.","[London]: [Wm. Hogarth], [25 June 1735] [State 4]","Clothing & dress; Harpsichords; Interiors; Merchants; Musicians; Rake's progress; Servants; Tailors; Young adults; Satires (Visual works)--England--1735; Engravings--England--London--1735; Etchings--England--London--1735; Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership",graphic,,12627293,12627293-00328f41-99ae-4860-bcb9-fd80898bc450#http://id.loc.gov/rwo/agents/n80126106,Visual Arts and Design,False
115.0,"Title: [Arms of the Foundling Hospital]: engrav'd from the original in the collection of the Earl of Exeter
Variant titles: Armes for the Foundling Hospital
Subjects: Foundling Hospital (London, England); Coats of arms; Annotations (Provenance)--18th century; Etchings--England--London--1781; Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership
Genres: graphic
Provision information: [London]: Publish'd, Decr. 22, 1781, by Rd. Livesay, at Mrs. Hogarth's Leicester Fields, [22 December 1781]","7001 $aHogarth, William,$d1697-1764,$eartist.$0http://id.loc.gov/authorities/names/n80126106","Hogarth, William, 1697-1764",Artist,[Arms of the Foundling Hospital]: engrav'd from the original in the collection of the Earl of Exeter,Wm. Hogarth invt. 1747.,"[London]: Publish'd, Decr. 22, 1781, by Rd. Livesay, at Mrs. Hogarth's Leicester Fields, [22 December 1781]","Foundling Hospital (London, England); Coats of arms; Annotations (Provenance)--18th century; Etchings--England--London--1781; Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership",graphic,,12784134,12784134-8782bf79-0c11-4a81-9827-c71d8543c850#http://id.loc.gov/rwo/agents/n80126106,Visual Arts and Design,False
4463.0,"Title: Scrapbook of newspaper articles on medicine, mainly from Hartford newspapers
Variant titles: Medicine in Connecticut newspaper scrapbook
Subjects: Barton, Clara, 1821-1912; McPherson, Margaret J.; Pasteur, Louis, 1822-1895; Bacteriology; Blindness; Communicable disease; Cremations; Curiosities and wonders; Deafness--19th century; Dentistry--Anecdotes; Healers; Influenza--United States; Health in mass media--United States; Longevity; Medicine--Anecdotes; Medicine--Connecticut; Medicine, Popular--Connecticut; Mental disorders; Mental healing; Monsters; Nursing; Operations, Surgical; Rabies; Shamans; Skin-grafting; Spritual healing; Therapy; Tuberculin; Tuberculosis; Vaccination; Hansen, Bert, 1944-
Genres: Clippings (Books, newspapers, etc.); Scrapbooks","60010$aKoch, Robert,$d1843-1910.$0http://id.loc.gov/authorities/names/n50043984","Koch, Robert, 1843-1910",Subject,"Scrapbook of newspaper articles on medicine, mainly from Hartford newspapers",,,"Barton, Clara, 1821-1912; McPherson, Margaret J.; Pasteur, Louis, 1822-1895; Bacteriology; Blindness; Communicable disease; Cremations; Curiosities and wonders; Deafness--19th century; Dentistry--Anecdotes; Healers; Influenza--United States; Health in mass media--United States; Longevity; Medicine--Anecdotes; Medicine--Connecticut; Medicine, Popular--Connecticut; Mental disorders; Mental healing; Monsters; Nursing; Operations, Surgical; Rabies; Shamans; Skin-grafting; Spritual healing; Therapy; Tuberculin; Tuberculosis; Vaccination; Hansen, Bert, 1944-","Clippings (Books, newspapers, etc.); Scrapbooks",,12596995,12596995-fc903c7b-b9ff-49c2-8eae-65456fecba7d#http://id.loc.gov/rwo/agents/n50043984,"Medicine, Health, and Clinical Sciences",False
4564.0,"Title: Doctors Commons
Subjects: Doctors' Commons (London, England); London (England)--Pictorial works; Interiors--England--London; Law & legal affairs; Meetings; Aquatints--England--London--1808; Etchings--England--London--1808
Genres: graphic; Book illustrations
Provision information: London: Pub. 1 Augt. 1808 at R. Ackermann's Repository of Arts, 101 Strand, [1 August 1808]","7001 $aStadler, Joseph Constantine,$eprintmaker.$0http://id.loc.gov/authorities/names/nr94030053","Stadler, Joseph Constantine",Printmaker,Doctors Commons,Rowlandson & Pugin delt. et sculpt. ; Stadler aquat.,"London: Pub. 1 Augt. 1808 at R. Ackermann's Repository of Arts, 101 Strand, [1 August 1808]","Doctors' Commons (London, England); London (England)--Pictorial works; Interiors--England--London; Law & legal affairs; Meetings; Aquatints--England--London--1808; Etchings--England--London--1808",graphic; Book illustrations,,12973351,12973351-658d1284-43aa-4eb2-a8e2-f7c10ff3f307#http://id.loc.gov/rwo/agents/nr94030053,Visual Arts and Design,False
4564.0,"Title: White Lion Inn, Ponder's End, Middlesex
Subjects: Cornwall (England : County); Taverns (Inns); Etchings--England--London--1822; Aquatints--England--London--1822; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership
Genres: graphic; Views
Provision information: [London]: [publisher not identified], [1822]","7001 $aStadler, Joseph Constantine,$eprintmaker.$0http://id.loc.gov/authorities/names/nr94030053","Stadler, Joseph Constantine",Printmaker,"White Lion Inn, Ponder's End, Middlesex",drawn & etched by Rowlandson ; Stadler aquatinta,"[London]: [publisher not identified], [1822]","Cornwall (England : County); Taverns (Inns); Etchings--England--London--1822; Aquatints--England--London--1822; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership",graphic; Views,,12931006,12931006-e28f7103-9e3e-4fe8-871f-f5dcbc55a356#http://id.loc.gov/rwo/agents/nr94030053,Visual Arts and Design,False
4564.0,"Title: Leaden Hall Market
Variant titles: Leadenhall Market
Subjects: London (England)--Pictorial works; Markets--England--London; Hides & skins; Aquatints--England--London--1809
Genres: graphic; Book illustrations; Views
Provision information: London: Pub. 1st Jany. 1809 at R. Ackermann's Repository of Arts, 101 Strand, [1 January 1809]","7001 $aStadler, Joseph Constantine,$eprintmaker.$0http://id.loc.gov/authorities/names/nr94030053","Stadler, Joseph Constantine",Printmaker,Leaden Hall Market,Rowlandson & Pugin delt. et sculpt. ; J.C. Stadler aquat,"London: Pub. 1st Jany. 1809 at R. Ackermann's Repository of Arts, 101 Strand, [1 January 1809]",London (England)--Pictorial works; Markets--England--London; Hides & skins; Aquatints--England--London--1809,graphic; Book illustrations; Views,,12975226,12975226-6379661d-d183-460e-a8a2-6f39a5f119ec#http://id.loc.gov/rwo/agents/nr94030053,Visual Arts and Design,False
